Country Name,Country Code,Year,Year Code,"Immunization, BCG (% of one-year-old children) [SH.IMM.IBCG]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Immunization, HepB3 (% of one-year-old children) [SH.IMM.HEPB]","Immunization, Hib3 (% of children ages 12-23 months) [SH.IMM.HIB3]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Immunization, measles second dose (% of children by the nationally recommended age) [SH.IMM.MEA2]","Immunization, Pol3 (% of one-year-old children) [SH.IMM.POL3]"
Afghanistan,AFG,2017,YR2017,78,66,66,66,64,39,73
Afghanistan,AFG,2018,YR2018,78,66,66,66,64,39,73
Afghanistan,AFG,2019,YR2019,78,66,66,66,64,39,73
Africa Eastern and Southern,AFE,2017,YR2017,81.0855071,76.29674244,75.91086576,75.91078489,72.33519371,30.0645047,76.06629983
Africa Eastern and Southern,AFE,2018,YR2018,80.02945077,76.82352511,76.59920545,76.59920545,72.08318685,31.96742192,76.5122092
Africa Eastern and Southern,AFE,2019,YR2019,80.68511691,77.06584932,76.67682071,76.67682071,73.25827219,41.21888717,77.30405234
Africa Western and Central,AFW,2017,YR2017,78.41189328,67.87137722,67.8162296,67.8162296,64.59895061,14.42651547,67.23083254
Africa Western and Central,AFW,2018,YR2018,77.24912038,67.49083184,67.49154955,67.49154955,64.18241886,14.74476488,66.77309204
Africa Western and Central,AFW,2019,YR2019,77.126464,68.48526537,68.48596034,68.48596034,64.62509318,21.60418124,67.9951914
Albania,ALB,2017,YR2017,99,99,99,99,96,98,99
Albania,ALB,2018,YR2018,99,99,99,99,94,96,99
Albania,ALB,2019,YR2019,99,99,99,99,95,96,99
Algeria,DZA,2017,YR2017,99,91,91,91,88,92,91
Algeria,DZA,2018,YR2018,99,91,91,91,80,77,91
Algeria,DZA,2019,YR2019,99,91,91,91,80,77,91
American Samoa,ASM,2017,YR2017,..,..,..,..,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..,..,..,..,..
Andorra,AND,2017,YR2017,..,99,98,99,99,94,99
Andorra,AND,2018,YR2018,..,99,98,99,99,95,99
Andorra,AND,2019,YR2019,..,99,98,98,99,95,99
Angola,AGO,2017,YR2017,69,56,52,52,42,30,47
Angola,AGO,2018,YR2018,72,63,59,59,50,35,56
Angola,AGO,2019,YR2019,69,57,53,53,51,45,51
Antigua and Barbuda,ATG,2017,YR2017,..,95,95,95,99,95,94
Antigua and Barbuda,ATG,2018,YR2018,..,95,95,95,96,95,94
Antigua and Barbuda,ATG,2019,YR2019,..,95,99,99,93,95,95
Arab World,ARB,2017,YR2017,87.90505532,86.93700678,86.91140494,86.97179255,86.37754722,79.77206679,86.91842479
Arab World,ARB,2018,YR2018,88.38968809,85.93514228,85.95759743,85.95920685,84.58741924,76.69442537,84.6290572
Arab World,ARB,2019,YR2019,86.99579907,86.56053621,86.57486338,86.58343945,84.74135124,77.26759529,86.69005538
Argentina,ARG,2017,YR2017,95,86,86,86,89,89,84
Argentina,ARG,2018,YR2018,93,86,86,86,94,99,84
Argentina,ARG,2019,YR2019,93,86,86,86,94,89,84
Armenia,ARM,2017,YR2017,99,94,94,94,96,97,96
Armenia,ARM,2018,YR2018,99,92,92,92,95,96,92
Armenia,ARM,2019,YR2019,99,92,92,92,95,96,94
Aruba,ABW,2017,YR2017,..,..,..,..,..,..,..
Aruba,ABW,2018,YR2018,..,..,..,..,..,..,..
Aruba,ABW,2019,YR2019,..,..,..,..,..,..,..
Australia,AUS,2017,YR2017,..,95,95,94,95,93,95
Australia,AUS,2018,YR2018,..,95,95,94,95,93,95
Australia,AUS,2019,YR2019,..,95,95,95,95,94,95
Austria,AUT,2017,YR2017,..,90,90,90,96,84,90
Austria,AUT,2018,YR2018,..,85,85,85,94,84,85
Austria,AUT,2019,YR2019,..,85,85,85,94,84,85
Azerbaijan,AZE,2017,YR2017,97,95,95,95,98,97,97
Azerbaijan,AZE,2018,YR2018,97,95,95,95,96,96,96
Azerbaijan,AZE,2019,YR2019,96,94,94,94,98,97,96
"Bahamas, The",BHS,2017,YR2017,..,94,94,94,90,76,94
"Bahamas, The",BHS,2018,YR2018,..,90,90,90,89,69,90
"Bahamas, The",BHS,2019,YR2019,..,86,86,86,85,82,86
Bahrain,BHR,2017,YR2017,..,97,98,97,99,99,98
Bahrain,BHR,2018,YR2018,..,99,99,99,99,99,99
Bahrain,BHR,2019,YR2019,..,99,99,99,99,99,99
Bangladesh,BGD,2017,YR2017,99,98,98,98,97,93,98
Bangladesh,BGD,2018,YR2018,99,98,98,98,97,93,98
Bangladesh,BGD,2019,YR2019,99,98,98,98,97,95,98
Barbados,BRB,2017,YR2017,..,90,90,90,92,77,91
Barbados,BRB,2018,YR2018,..,95,95,95,85,74,94
Barbados,BRB,2019,YR2019,..,90,90,90,92,77,91
Belarus,BLR,2017,YR2017,98,97,98,9,97,98,98
Belarus,BLR,2018,YR2018,98,97,98,67,98,98,98
Belarus,BLR,2019,YR2019,97,98,97,91,98,98,98
Belgium,BEL,2017,YR2017,..,98,97,97,96,85,98
Belgium,BEL,2018,YR2018,..,98,97,97,96,85,98
Belgium,BEL,2019,YR2019,..,98,97,97,96,85,98
Belize,BLZ,2017,YR2017,90,88,88,88,90,88,88
Belize,BLZ,2018,YR2018,99,96,96,96,97,91,96
Belize,BLZ,2019,YR2019,95,98,98,98,96,95,98
Benin,BEN,2017,YR2017,89,76,76,76,70,..,75
Benin,BEN,2018,YR2018,89,76,76,76,71,..,75
Benin,BEN,2019,YR2019,89,76,76,76,71,..,75
Bermuda,BMU,2017,YR2017,..,..,..,..,..,..,..
Bermuda,BMU,2018,YR2018,..,..,..,..,..,..,..
Bermuda,BMU,2019,YR2019,..,..,..,..,..,..,..
Bhutan,BTN,2017,YR2017,99,98,98,98,97,99,97
Bhutan,BTN,2018,YR2018,99,97,97,97,97,91,97
Bhutan,BTN,2019,YR2019,92,97,97,97,97,92,97
Bolivia,BOL,2017,YR2017,93,84,84,84,83,..,83
Bolivia,BOL,2018,YR2018,90,83,83,83,89,38,83
Bolivia,BOL,2019,YR2019,80,75,75,75,79,44,75
Bosnia and Herzegovina,BIH,2017,YR2017,97,75,77,68,69,80,75
Bosnia and Herzegovina,BIH,2018,YR2018,95,73,80,62,68,76,73
Bosnia and Herzegovina,BIH,2019,YR2019,95,73,80,62,68,76,73
Botswana,BWA,2017,YR2017,98,95,95,95,97,74,96
Botswana,BWA,2018,YR2018,98,95,95,95,97,74,96
Botswana,BWA,2019,YR2019,98,95,95,95,97,76,96
Brazil,BRA,2017,YR2017,91,89,93,93,91,76,75
Brazil,BRA,2018,YR2018,92,87,93,83,92,76,85
Brazil,BRA,2019,YR2019,79,73,80,80,91,54,85
British Virgin Islands,VGB,2017,YR2017,..,..,..,..,..,..,..
British Virgin Islands,VGB,2018,YR2018,..,..,..,..,..,..,..
British Virgin Islands,VGB,2019,YR2019,..,..,..,..,..,..,..
Brunei Darussalam,BRN,2017,YR2017,99,99,99,99,97,98,99
Brunei Darussalam,BRN,2018,YR2018,99,99,99,99,99,98,99
Brunei Darussalam,BRN,2019,YR2019,99,99,99,99,97,98,99
Bulgaria,BGR,2017,YR2017,96,92,92,92,94,92,92
Bulgaria,BGR,2018,YR2018,96,92,85,92,93,87,92
Bulgaria,BGR,2019,YR2019,96,92,85,92,93,87,92
Burkina Faso,BFA,2017,YR2017,98,91,91,91,88,65,91
Burkina Faso,BFA,2018,YR2018,98,91,91,91,88,71,91
Burkina Faso,BFA,2019,YR2019,98,91,91,91,88,71,91
Burundi,BDI,2017,YR2017,92,91,91,91,90,75,91
Burundi,BDI,2018,YR2018,91,90,90,90,88,77,90
Burundi,BDI,2019,YR2019,93,93,93,93,92,80,93
Cabo Verde,CPV,2017,YR2017,98,96,97,97,96,85,96
Cabo Verde,CPV,2018,YR2018,96,98,99,99,99,88,98
Cabo Verde,CPV,2019,YR2019,98,96,97,97,98,91,97
Cambodia,KHM,2017,YR2017,99,93,93,93,84,72,91
Cambodia,KHM,2018,YR2018,93,92,92,92,84,70,90
Cambodia,KHM,2019,YR2019,98,92,92,92,84,82,94
Cameroon,CMR,2017,YR2017,87,74,74,74,65,..,74
Cameroon,CMR,2018,YR2018,84,67,67,67,59,..,68
Cameroon,CMR,2019,YR2019,80,67,67,67,60,..,68
Canada,CAN,2017,YR2017,..,91,71,91,90,87,91
Canada,CAN,2018,YR2018,..,91,71,91,90,87,91
Canada,CAN,2019,YR2019,..,91,74,91,90,87,91
Caribbean small states,CSS,2017,YR2017,..,90.0222083,90.0222083,90.0222083,92.60943157,88.03304936,88.88949805
Caribbean small states,CSS,2018,YR2018,..,95.02963308,95.02963308,95.4417975,89.77605971,81.11736731,95.31338455
Caribbean small states,CSS,2019,YR2019,..,93.51089603,93.59532697,93.59532697,92.26835706,87.85134766,93.22170675
Cayman Islands,CYM,2017,YR2017,..,..,..,..,..,..,..
Cayman Islands,CYM,2018,YR2018,..,..,..,..,..,..,..
Cayman Islands,CYM,2019,YR2019,..,..,..,..,..,..,..
Central African Republic,CAF,2017,YR2017,74,47,47,47,49,..,47
Central African Republic,CAF,2018,YR2018,74,47,47,47,49,..,47
Central African Republic,CAF,2019,YR2019,74,47,47,47,49,..,47
Central Europe and the Baltics,CEB,2017,YR2017,88.63944324,93.14615138,82.78700722,92.92769559,93.21236022,90.00005512,90.71057352
Central Europe and the Baltics,CEB,2018,YR2018,88.36953384,93.55432475,81.98094852,93.48120594,93.49080921,89.80560158,90.5112661
Central Europe and the Baltics,CEB,2019,YR2019,88.46625205,94.13122027,81.59169727,94.13122027,93.14338814,89.05801259,91.15046838
Chad,TCD,2017,YR2017,59,41,41,41,37,..,44
Chad,TCD,2018,YR2018,50,46,46,46,42,..,41
Chad,TCD,2019,YR2019,75,50,50,50,41,..,47
Channel Islands,CHI,2017,YR2017,..,..,..,..,..,..,..
Channel Islands,CHI,2018,YR2018,..,..,..,..,..,..,..
Channel Islands,CHI,2019,YR2019,..,..,..,..,..,..,..
Chile,CHL,2017,YR2017,96,93,93,93,93,90,93
Chile,CHL,2018,YR2018,96,95,95,95,93,93,95
Chile,CHL,2019,YR2019,98,96,96,96,95,91,96
China,CHN,2017,YR2017,99,99,99,..,99,99,99
China,CHN,2018,YR2018,99,99,99,..,99,99,99
China,CHN,2019,YR2019,99,99,99,..,99,98,99
Colombia,COL,2017,YR2017,91,92,92,92,93,89,92
Colombia,COL,2018,YR2018,89,92,92,92,95,88,92
Colombia,COL,2019,YR2019,89,92,92,92,95,88,92
Comoros,COM,2017,YR2017,94,91,91,91,90,..,94
Comoros,COM,2018,YR2018,94,91,91,91,90,..,94
Comoros,COM,2019,YR2019,94,91,91,91,90,..,94
"Congo, Dem. Rep.",COD,2017,YR2017,73,57,57,57,57,..,59
"Congo, Dem. Rep.",COD,2018,YR2018,73,57,57,57,57,..,59
"Congo, Dem. Rep.",COD,2019,YR2019,73,57,57,57,57,..,59
"Congo, Rep.",COG,2017,YR2017,76,69,69,69,70,..,69
"Congo, Rep.",COG,2018,YR2018,81,75,75,75,75,..,75
"Congo, Rep.",COG,2019,YR2019,80,79,79,79,73,9,78
Costa Rica,CRI,2017,YR2017,90,96,97,96,96,93,96
Costa Rica,CRI,2018,YR2018,92,94,98,94,94,93,94
Costa Rica,CRI,2019,YR2019,88,95,98,94,95,93,94
Cote d'Ivoire,CIV,2017,YR2017,93,83,83,83,70,..,82
Cote d'Ivoire,CIV,2018,YR2018,95,86,86,86,76,..,86
Cote d'Ivoire,CIV,2019,YR2019,93,84,84,84,76,..,85
Croatia,HRV,2017,YR2017,98,92,92,92,89,95,92
Croatia,HRV,2018,YR2018,98,93,93,94,93,95,94
Croatia,HRV,2019,YR2019,98,94,93,94,93,95,94
Cuba,CUB,2017,YR2017,99,99,99,99,99,99,98
Cuba,CUB,2018,YR2018,99,99,99,99,99,99,99
Cuba,CUB,2019,YR2019,99,99,99,99,99,99,99
Curacao,CUW,2017,YR2017,..,..,..,..,..,..,..
Curacao,CUW,2018,YR2018,..,..,..,..,..,..,..
Curacao,CUW,2019,YR2019,..,..,..,..,..,..,..
Cyprus,CYP,2017,YR2017,..,97,97,96,90,88,97
Cyprus,CYP,2018,YR2018,..,99,97,97,90,88,97
Cyprus,CYP,2019,YR2019,..,96,94,92,86,88,96
Czech Republic,CZE,2017,YR2017,..,96,94,94,97,90,94
Czech Republic,CZE,2018,YR2018,..,97,96,96,96,84,96
Czech Republic,CZE,2019,YR2019,..,97,97,97,92,84,97
Denmark,DNK,2017,YR2017,..,98,..,98,97,88,98
Denmark,DNK,2018,YR2018,..,97,..,97,95,90,97
Denmark,DNK,2019,YR2019,..,97,..,97,96,90,97
Djibouti,DJI,2017,YR2017,92,76,76,76,81,81,76
Djibouti,DJI,2018,YR2018,93,84,84,84,86,81,84
Djibouti,DJI,2019,YR2019,95,85,85,85,83,81,85
Dominica,DMA,2017,YR2017,97,91,91,91,77,81,91
Dominica,DMA,2018,YR2018,95,94,94,94,84,81,94
Dominica,DMA,2019,YR2019,98,99,99,99,92,92,99
Dominican Republic,DOM,2017,YR2017,99,84,81,77,86,..,80
Dominican Republic,DOM,2018,YR2018,99,94,92,90,95,31,89
Dominican Republic,DOM,2019,YR2019,99,89,87,79,96,60,92
Early-demographic dividend,EAR,2017,YR2017,90.1263924,85.84176289,84.83040365,85.76693595,85.88178512,71.13320774,86.21264961
Early-demographic dividend,EAR,2018,YR2018,89.95146697,85.94898004,84.79916213,85.93581705,86.76369054,73.90681999,86.21524863
Early-demographic dividend,EAR,2019,YR2019,88.91398287,86.30382442,85.35941749,86.22517614,86.93125505,76.52925663,86.14285219
East Asia & Pacific,EAS,2017,YR2017,95.87092734,93.54149404,90.32588918,36.47939111,94.14109861,86.57088112,94.07366105
East Asia & Pacific,EAS,2018,YR2018,95.13510929,92.06200115,88.95283523,35.01115755,93.83558443,86.89469513,93.25856149
East Asia & Pacific,EAS,2019,YR2019,94.97155264,92.75388677,92.76778648,35.69033763,93.3176572,87.13948554,92.91034966
East Asia & Pacific (excluding high income),EAP,2017,YR2017,95.934193,93.28207903,93.26489602,32.60944554,93.99289594,86.03382285,93.91706483
East Asia & Pacific (excluding high income),EAP,2018,YR2018,94.96030558,91.73807446,91.73874748,31.09818003,93.66011084,86.46648325,93.0094836
East Asia & Pacific (excluding high income),EAP,2019,YR2019,94.79278994,92.48073361,92.46245488,31.89424394,93.14768745,86.73663758,92.6468618
East Asia & Pacific (IDA & IBRD countries),TEA,2017,YR2017,95.9093,93.23727803,93.21988797,31.83353858,93.93256027,85.8905545,93.8558154
East Asia & Pacific (IDA & IBRD countries),TEA,2018,YR2018,94.94758226,91.67368132,91.67436259,30.29170253,93.60700118,86.31766252,92.9361743
East Asia & Pacific (IDA & IBRD countries),TEA,2019,YR2019,94.77778991,92.42458005,92.4060742,31.08528078,93.08739567,86.60045245,92.58034707
Ecuador,ECU,2017,YR2017,88,85,85,85,81,73,83
Ecuador,ECU,2018,YR2018,90,85,85,85,83,74,85
Ecuador,ECU,2019,YR2019,86,85,85,85,83,76,85
"Egypt, Arab Rep.",EGY,2017,YR2017,86,94,94,94,94,94,94
"Egypt, Arab Rep.",EGY,2018,YR2018,95,95,95,95,94,94,95
"Egypt, Arab Rep.",EGY,2019,YR2019,96,95,95,95,95,94,95
El Salvador,SLV,2017,YR2017,83,85,85,85,85,86,89
El Salvador,SLV,2018,YR2018,81,81,81,81,81,85,83
El Salvador,SLV,2019,YR2019,78,81,81,81,82,87,81
Equatorial Guinea,GNQ,2017,YR2017,85,53,53,53,53,..,55
Equatorial Guinea,GNQ,2018,YR2018,85,53,53,53,53,..,55
Equatorial Guinea,GNQ,2019,YR2019,85,53,53,53,53,..,55
Eritrea,ERI,2017,YR2017,97,95,95,95,99,88,95
Eritrea,ERI,2018,YR2018,97,95,95,95,99,88,95
Eritrea,ERI,2019,YR2019,97,95,95,95,99,88,95
Estonia,EST,2017,YR2017,94,93,92,93,93,91,93
Estonia,EST,2018,YR2018,92,92,93,92,87,88,92
Estonia,EST,2019,YR2019,92,91,91,91,88,90,91
Eswatini,SWZ,2017,YR2017,98,90,90,90,89,70,90
Eswatini,SWZ,2018,YR2018,98,90,90,90,85,75,90
Eswatini,SWZ,2019,YR2019,98,90,90,90,81,75,89
Ethiopia,ETH,2017,YR2017,73,69,68,68,59,..,72
Ethiopia,ETH,2018,YR2018,71,68,68,68,55,..,72
Ethiopia,ETH,2019,YR2019,69,69,68,68,58,41,72
Euro area,EMU,2017,YR2017,..,94.80543045,89.47104977,94.14670703,94.22021413,85.96922274,94.80543045
Euro area,EMU,2018,YR2018,..,94.71651372,89.81425415,94.05173598,94.27888592,87.42356425,94.7084504
Euro area,EMU,2019,YR2019,..,94.78252574,89.80398984,94.25004495,94.62991039,87.45016787,94.78118225
Europe & Central Asia,ECS,2017,YR2017,..,93.72809872,83.3404244,75.57068254,95.10364379,90.66876624,93.35513218
Europe & Central Asia,ECS,2018,YR2018,..,94.74893226,84.35563886,77.24901074,95.17476947,91.36364122,94.37958003
Europe & Central Asia,ECS,2019,YR2019,..,95.19320582,91.76479749,78.50754269,95.50891058,91.49313224,94.86039212
Europe & Central Asia (excluding high income),ECA,2017,YR2017,94.72923863,92.74434019,93.17879806,60.50987631,95.91124476,93.12573339,92.46219322
Europe & Central Asia (excluding high income),ECA,2018,YR2018,95.52488929,94.66100225,94.63299514,63.43541651,96.08666254,93.77708065,94.49638449
Europe & Central Asia (excluding high income),ECA,2019,YR2019,95.13102336,95.52006973,95.20918123,65.51438702,96.6981294,94.10899484,95.41673568
Europe & Central Asia (IDA & IBRD countries),TEC,2017,YR2017,94.59697409,92.92007848,93.16220774,62.6509231,95.76627202,93.12973685,92.32345363
Europe & Central Asia (IDA & IBRD countries),TEC,2018,YR2018,95.33812645,94.67090024,94.41679496,65.40663134,95.89334568,93.68280964,94.06655464
Europe & Central Asia (IDA & IBRD countries),TEC,2019,YR2019,94.96365021,95.48094425,94.94976793,67.40538679,96.46024603,93.99358561,94.91502921
European Union,EUU,2017,YR2017,..,94.50710077,86.59173168,93.95610976,94.07954932,86.88328636,93.94064046
European Union,EUU,2018,YR2018,..,94.54963069,87.04831298,94.02999319,94.18064703,88.00293889,93.82644016
European Union,EUU,2019,YR2019,..,94.72576862,87.0003125,94.29690773,94.35394786,87.81096771,94.0146128
Faroe Islands,FRO,2017,YR2017,..,..,..,..,..,..,..
Faroe Islands,FRO,2018,YR2018,..,..,..,..,..,..,..
Faroe Islands,FRO,2019,YR2019,..,..,..,..,..,..,..
Fiji,FJI,2017,YR2017,99,99,99,99,96,94,99
Fiji,FJI,2018,YR2018,99,99,99,99,96,94,99
Fiji,FJI,2019,YR2019,99,99,99,99,96,94,99
Finland,FIN,2017,YR2017,..,89,..,89,94,92,89
Finland,FIN,2018,YR2018,..,91,..,91,96,93,91
Finland,FIN,2019,YR2019,..,91,..,91,96,93,91
Fragile and conflict affected situations,FCS,2017,YR2017,77.36310868,67.90027467,67.76540826,67.78589334,66.1370877,24.64743967,69.00467252
Fragile and conflict affected situations,FCS,2018,YR2018,75.84783386,67.3248214,67.31203483,67.33239323,64.8303496,24.66679604,67.5596433
Fragile and conflict affected situations,FCS,2019,YR2019,75.81193054,68.12393298,67.98946381,68.00887418,65.29315541,32.98551399,69.10897091
France,FRA,2017,YR2017,..,96,90,95,90,80,96
France,FRA,2018,YR2018,..,96,91,95,90,83,96
France,FRA,2019,YR2019,..,96,91,95,90,83,96
French Polynesia,PYF,2017,YR2017,..,..,..,..,..,..,..
French Polynesia,PYF,2018,YR2018,..,..,..,..,..,..,..
French Polynesia,PYF,2019,YR2019,..,..,..,..,..,..,..
Gabon,GAB,2017,YR2017,93,75,75,75,63,..,74
