Country Name,Country Code,Year,Year Code,"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]","Nurses and midwives (per 1,000 people) [SH.MED.NUMW.P3]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Specialist surgical workforce (per 100,000 population) [SH.MED.SAOP.P5]"
New Zealand,NZL,2018,YR2018,..,2.62,..,12.4482,3.5898,..
New Zealand,NZL,2019,YR2019,..,2.57,..,..,..,..
Nicaragua,NIC,2017,YR2017,..,0.93,..,1.5524,0.9895,..
Nicaragua,NIC,2018,YR2018,..,..,..,1.5334,0.9775,..
Nicaragua,NIC,2019,YR2019,..,..,..,..,..,..
Niger,NER,2017,YR2017,..,0.39,..,..,..,..
Niger,NER,2018,YR2018,..,..,..,..,..,..
Niger,NER,2019,YR2019,..,..,..,..,..,..
Nigeria,NGA,2017,YR2017,..,..,..,..,..,..
Nigeria,NGA,2018,YR2018,..,..,..,1.1792,0.3806,..
Nigeria,NGA,2019,YR2019,..,..,..,..,..,..
North America,NAC,2017,YR2017,..,2.835644126,..,..,2.611818116,..
North America,NAC,2018,YR2018,..,..,..,14.07904175,..,..
North America,NAC,2019,YR2019,..,..,..,..,..,..
North Macedonia,MKD,2017,YR2017,..,4.28,..,..,..,..
North Macedonia,MKD,2018,YR2018,..,..,..,..,..,..
North Macedonia,MKD,2019,YR2019,..,..,..,..,..,..
Northern Mariana Islands,MNP,2017,YR2017,..,..,..,..,..,..
Northern Mariana Islands,MNP,2018,YR2018,..,..,..,..,..,..
Northern Mariana Islands,MNP,2019,YR2019,..,..,..,..,..,..
Norway,NOR,2017,YR2017,..,3.6,..,18.1559,2.8342,67.16
Norway,NOR,2018,YR2018,..,3.53,..,18.2248,2.9164,..
Norway,NOR,2019,YR2019,..,..,..,..,..,..
Not classified,INX,2017,YR2017,..,..,..,..,..,..
Not classified,INX,2018,YR2018,..,..,..,..,..,..
Not classified,INX,2019,YR2019,..,..,..,..,..,..
OECD members,OED,2017,YR2017,..,4.717896781,..,..,2.921402998,..
OECD members,OED,2018,YR2018,..,5.041098938,..,9.615236249,..,..
OECD members,OED,2019,YR2019,..,..,..,..,..,..
Oman,OMN,2017,YR2017,..,1.47,..,4.2731,1.9572,30.48
Oman,OMN,2018,YR2018,..,..,..,4.1965,2.0031,..
Oman,OMN,2019,YR2019,..,..,..,..,..,..
Other small states,OSS,2017,YR2017,..,..,..,..,1.224770334,..
Other small states,OSS,2018,YR2018,..,..,..,3.774916644,..,..
Other small states,OSS,2019,YR2019,..,..,..,..,..,..
Pacific island small states,PSS,2017,YR2017,..,..,..,..,0.498014489,..
Pacific island small states,PSS,2018,YR2018,..,..,..,2.793554438,..,..
Pacific island small states,PSS,2019,YR2019,..,..,..,..,..,..
Pakistan,PAK,2017,YR2017,..,0.63,..,0.5986,1.0005,..
Pakistan,PAK,2018,YR2018,..,..,..,0.6683,0.9801,..
Pakistan,PAK,2019,YR2019,..,..,..,..,..,..
Palau,PLW,2017,YR2017,..,..,..,..,..,..
Palau,PLW,2018,YR2018,..,..,..,7.2626,..,..
Palau,PLW,2019,YR2019,..,..,..,..,..,..
Panama,PAN,2017,YR2017,..,..,..,3.0866,..,..
Panama,PAN,2018,YR2018,..,..,..,3.0741,..,..
Panama,PAN,2019,YR2019,..,..,..,..,..,..
Papua New Guinea,PNG,2017,YR2017,..,..,..,0.2253,..,..
Papua New Guinea,PNG,2018,YR2018,..,..,..,0.4548,0.0699,..
Papua New Guinea,PNG,2019,YR2019,..,..,..,..,..,..
Paraguay,PRY,2017,YR2017,..,..,..,0.7387,0.2399,..
Paraguay,PRY,2018,YR2018,..,..,..,1.6604,1.3544,20.53
Paraguay,PRY,2019,YR2019,..,..,..,..,..,..
Peru,PER,2017,YR2017,..,1.59,..,2.213,..,..
Peru,PER,2018,YR2018,..,..,..,2.4398,..,..
Peru,PER,2019,YR2019,..,..,..,..,..,..
Philippines,PHL,2017,YR2017,..,..,..,5.2744,0.6004,..
Philippines,PHL,2018,YR2018,..,..,..,4.9351,..,..
Philippines,PHL,2019,YR2019,..,..,..,..,..,..
Poland,POL,2017,YR2017,..,6.62,..,5.7029,2.3788,..
Poland,POL,2018,YR2018,..,6.54,..,6.8926,..,..
Poland,POL,2019,YR2019,..,..,..,..,..,..
Portugal,PRT,2017,YR2017,..,3.39,..,6.9746,5.124,..
Portugal,PRT,2018,YR2018,..,3.45,..,..,..,..
Portugal,PRT,2019,YR2019,..,..,..,..,..,..
Post-demographic dividend,PST,2017,YR2017,..,5.50018765,..,..,3.179825877,..
Post-demographic dividend,PST,2018,YR2018,..,..,..,11.21933652,..,..
Post-demographic dividend,PST,2019,YR2019,..,..,..,..,..,..
Pre-demographic dividend,PRE,2017,YR2017,..,..,..,..,0.209140823,..
Pre-demographic dividend,PRE,2018,YR2018,..,..,..,0.851473099,..,..
Pre-demographic dividend,PRE,2019,YR2019,..,..,..,..,..,..
Puerto Rico,PRI,2017,YR2017,..,..,..,..,..,..
Puerto Rico,PRI,2018,YR2018,..,..,..,..,..,..
Puerto Rico,PRI,2019,YR2019,..,..,..,..,..,..
Qatar,QAT,2017,YR2017,..,1.25,..,..,0.0008,..
Qatar,QAT,2018,YR2018,..,..,..,7.2628,2.4852,..
Qatar,QAT,2019,YR2019,..,..,..,..,..,..
Romania,ROU,2017,YR2017,..,6.89,..,7.3891,2.9807,..
Romania,ROU,2018,YR2018,..,..,..,..,..,..
Romania,ROU,2019,YR2019,..,..,..,..,..,..
Russian Federation,RUS,2017,YR2017,..,8.05,..,8.5429,..,..
Russian Federation,RUS,2018,YR2018,..,7.12,..,..,..,..
Russian Federation,RUS,2019,YR2019,..,..,..,..,..,..
Rwanda,RWA,2017,YR2017,..,..,..,1.1229,0.1371,..
Rwanda,RWA,2018,YR2018,..,..,..,1.2044,0.134,..
Rwanda,RWA,2019,YR2019,..,..,..,..,..,..
Samoa,WSM,2017,YR2017,..,..,..,..,..,..
Samoa,WSM,2018,YR2018,..,..,..,2.4885,..,..
Samoa,WSM,2019,YR2019,..,..,..,..,..,..
San Marino,SMR,2017,YR2017,..,..,..,..,..,112.86
San Marino,SMR,2018,YR2018,..,..,..,..,..,..
San Marino,SMR,2019,YR2019,..,..,..,..,..,..
Sao Tome and Principe,STP,2017,YR2017,..,..,..,..,0.0531,..
Sao Tome and Principe,STP,2018,YR2018,..,..,..,1.9242,..,..
Sao Tome and Principe,STP,2019,YR2019,..,..,..,..,..,..
Saudi Arabia,SAU,2017,YR2017,..,2.24,..,5.4627,2.5366,..
Saudi Arabia,SAU,2018,YR2018,..,..,..,5.4763,2.6117,..
Saudi Arabia,SAU,2019,YR2019,..,..,..,..,..,..
Senegal,SEN,2017,YR2017,..,..,..,0.3127,0.0691,..
Senegal,SEN,2018,YR2018,..,..,..,..,..,..
Senegal,SEN,2019,YR2019,..,..,..,..,..,..
Serbia,SRB,2017,YR2017,..,5.61,..,..,..,..
Serbia,SRB,2018,YR2018,..,..,..,..,..,..
Serbia,SRB,2019,YR2019,..,..,..,..,..,..
Seychelles,SYC,2017,YR2017,..,..,..,..,..,..
Seychelles,SYC,2018,YR2018,..,..,..,..,..,48.57
Seychelles,SYC,2019,YR2019,..,..,..,..,..,..
Sierra Leone,SLE,2017,YR2017,..,..,..,..,..,..
Sierra Leone,SLE,2018,YR2018,..,..,..,..,..,..
Sierra Leone,SLE,2019,YR2019,..,..,..,..,..,..
Singapore,SGP,2017,YR2017,..,2.49,..,6.2432,..,..
Singapore,SGP,2018,YR2018,..,..,..,..,..,..
Singapore,SGP,2019,YR2019,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,2017,YR2017,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,2018,YR2018,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,2019,YR2019,..,..,..,..,..,..
Slovak Republic,SVK,2017,YR2017,..,5.82,..,..,3.4156,..
Slovak Republic,SVK,2018,YR2018,..,5.7,..,..,..,53.9
Slovak Republic,SVK,2019,YR2019,..,..,..,..,..,..
Slovenia,SVN,2017,YR2017,..,4.5,..,9.9745,3.0861,..
Slovenia,SVN,2018,YR2018,..,4.43,..,..,..,66.7
Slovenia,SVN,2019,YR2019,..,..,..,..,..,..
Small states,SST,2017,YR2017,..,..,..,..,1.307612392,..
Small states,SST,2018,YR2018,..,..,..,3.453675789,..,..
Small states,SST,2019,YR2019,..,..,..,..,..,..
Solomon Islands,SLB,2017,YR2017,..,..,..,..,..,..
Solomon Islands,SLB,2018,YR2018,..,..,..,2.1642,..,..
Solomon Islands,SLB,2019,YR2019,..,..,..,..,..,..
Somalia,SOM,2017,YR2017,..,0.87,..,..,..,..
Somalia,SOM,2018,YR2018,..,..,..,..,..,..
Somalia,SOM,2019,YR2019,..,..,..,..,..,..
South Africa,ZAF,2017,YR2017,..,..,..,1.3078,0.9054,..
South Africa,ZAF,2018,YR2018,..,..,..,..,..,..
South Africa,ZAF,2019,YR2019,..,..,..,..,..,..
South Asia,SAS,2017,YR2017,..,0.588178085,..,..,0.835975563,..
South Asia,SAS,2018,YR2018,..,..,..,1.482730575,..,..
South Asia,SAS,2019,YR2019,..,..,..,..,..,..
South Asia (IDA & IBRD),TSA,2017,YR2017,..,0.588178085,..,..,0.835975563,..
South Asia (IDA & IBRD),TSA,2018,YR2018,..,..,..,1.482730575,..,..
South Asia (IDA & IBRD),TSA,2019,YR2019,..,..,..,..,..,..
South Sudan,SSD,2017,YR2017,..,..,..,..,..,..
South Sudan,SSD,2018,YR2018,..,..,..,..,..,..
South Sudan,SSD,2019,YR2019,..,..,..,..,..,..
Spain,ESP,2017,YR2017,..,2.97,..,5.7295,3.8723,..
Spain,ESP,2018,YR2018,..,2.97,..,..,..,..
Spain,ESP,2019,YR2019,..,..,..,..,..,..
Sri Lanka,LKA,2017,YR2017,..,4.15,..,1.9966,0.9277,..
Sri Lanka,LKA,2018,YR2018,..,..,..,2.1803,1.0041,..
Sri Lanka,LKA,2019,YR2019,..,..,..,..,..,..
St. Kitts and Nevis,KNA,2017,YR2017,..,..,..,..,..,..
St. Kitts and Nevis,KNA,2018,YR2018,..,..,..,..,..,..
St. Kitts and Nevis,KNA,2019,YR2019,..,..,..,..,..,..
St. Lucia,LCA,2017,YR2017,..,1.3,..,3.1547,0.6409,..
St. Lucia,LCA,2018,YR2018,..,..,..,..,..,..
St. Lucia,LCA,2019,YR2019,..,..,..,..,..,..
St. Martin (French part),MAF,2017,YR2017,..,..,..,..,..,..
St. Martin (French part),MAF,2018,YR2018,..,..,..,..,..,..
St. Martin (French part),MAF,2019,YR2019,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,2017,YR2017,..,..,..,6.3115,..,..
St. Vincent and the Grenadines,VCT,2018,YR2018,..,..,..,7.0145,..,23.59
St. Vincent and the Grenadines,VCT,2019,YR2019,..,..,..,..,..,..
Sub-Saharan Africa,SSF,2017,YR2017,..,..,..,..,0.215573738,..
Sub-Saharan Africa,SSF,2018,YR2018,..,..,..,0.985752233,..,..
Sub-Saharan Africa,SSF,2019,YR2019,..,..,..,..,..,..
Sub-Saharan Africa (excluding high income),SSA,2017,YR2017,..,..,..,..,0.215391078,..
Sub-Saharan Africa (excluding high income),SSA,2018,YR2018,..,..,..,0.985093719,..,..
Sub-Saharan Africa (excluding high income),SSA,2019,YR2019,..,..,..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,YR2017,..,..,..,..,0.215573738,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,2018,YR2018,..,..,..,0.985752233,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,2019,YR2019,..,..,..,..,..,..
Sudan,SDN,2017,YR2017,..,0.74,..,0.6952,0.2618,..
Sudan,SDN,2018,YR2018,..,..,..,..,..,..
Sudan,SDN,2019,YR2019,..,..,..,..,..,..
Suriname,SUR,2017,YR2017,..,3,..,1.9281,1.1849,..
Suriname,SUR,2018,YR2018,..,..,..,2.7569,1.2101,..
Suriname,SUR,2019,YR2019,..,..,..,..,..,..
Sweden,SWE,2017,YR2017,..,2.21,..,11.8164,..,..
Sweden,SWE,2018,YR2018,..,2.14,..,..,..,..
Sweden,SWE,2019,YR2019,..,..,..,..,..,..
Switzerland,CHE,2017,YR2017,..,4.65,..,17.5357,4.2957,94.76
Switzerland,CHE,2018,YR2018,..,4.63,..,..,..,..
Switzerland,CHE,2019,YR2019,..,..,..,..,..,..
Syrian Arab Republic,SYR,2017,YR2017,..,1.4,..,..,..,..
Syrian Arab Republic,SYR,2018,YR2018,..,..,..,..,..,..
Syrian Arab Republic,SYR,2019,YR2019,..,..,..,..,..,..
Tajikistan,TJK,2017,YR2017,..,..,..,..,..,..
Tajikistan,TJK,2018,YR2018,..,..,..,..,..,..
Tajikistan,TJK,2019,YR2019,..,..,..,..,..,..
Tanzania,TZA,2017,YR2017,..,..,..,0.5843,..,..
Tanzania,TZA,2018,YR2018,..,..,..,..,..,..
Tanzania,TZA,2019,YR2019,..,..,..,..,..,..
Thailand,THA,2017,YR2017,..,..,..,2.9573,0.8075,..
Thailand,THA,2018,YR2018,..,..,..,2.7593,0.805,..
Thailand,THA,2019,YR2019,..,..,..,..,..,..
Timor-Leste,TLS,2017,YR2017,..,..,..,1.7413,0.7504,..
Timor-Leste,TLS,2018,YR2018,..,..,..,1.668,0.7224,..
Timor-Leste,TLS,2019,YR2019,..,..,..,..,..,..
Togo,TGO,2017,YR2017,..,..,..,0.4201,0.0299,..
Togo,TGO,2018,YR2018,..,..,..,0.4102,0.0774,..
Togo,TGO,2019,YR2019,..,..,..,..,..,..
Tonga,TON,2017,YR2017,..,..,..,..,..,..
Tonga,TON,2018,YR2018,..,..,..,4.157,..,..
Tonga,TON,2019,YR2019,..,..,..,..,..,..
Trinidad and Tobago,TTO,2017,YR2017,..,3.02,..,5.6441,3.3646,..
Trinidad and Tobago,TTO,2018,YR2018,..,..,..,4.0934,4.1675,..
Trinidad and Tobago,TTO,2019,YR2019,..,..,..,..,..,..
Tunisia,TUN,2017,YR2017,..,2.18,..,2.5136,1.3025,..
Tunisia,TUN,2018,YR2018,..,..,..,..,..,..
Tunisia,TUN,2019,YR2019,..,..,..,..,..,..
Turkey,TUR,2017,YR2017,..,2.81,..,2.7107,1.8492,..
Turkey,TUR,2018,YR2018,..,2.85,..,..,..,..
Turkey,TUR,2019,YR2019,..,..,..,..,..,..
Turkmenistan,TKM,2017,YR2017,..,..,..,..,..,..
Turkmenistan,TKM,2018,YR2018,..,..,..,..,..,..
Turkmenistan,TKM,2019,YR2019,..,..,..,..,..,..
Turks and Caicos Islands,TCA,2017,YR2017,..,..,..,..,..,..
Turks and Caicos Islands,TCA,2018,YR2018,..,..,..,..,..,..
Turks and Caicos Islands,TCA,2019,YR2019,..,..,..,..,..,..
Tuvalu,TUV,2017,YR2017,..,..,..,..,..,..
Tuvalu,TUV,2018,YR2018,..,..,..,4.2609,..,26.07
Tuvalu,TUV,2019,YR2019,..,..,..,..,..,..
Uganda,UGA,2017,YR2017,..,..,..,1.4686,0.168,..
Uganda,UGA,2018,YR2018,..,..,..,1.2382,..,..
Uganda,UGA,2019,YR2019,..,..,..,..,..,..
Ukraine,UKR,2017,YR2017,..,..,..,..,..,..
Ukraine,UKR,2018,YR2018,..,..,..,..,..,..
Ukraine,UKR,2019,YR2019,..,..,..,..,..,..
United Arab Emirates,ARE,2017,YR2017,..,1.38,..,5.6829,2.4356,..
United Arab Emirates,ARE,2018,YR2018,..,..,..,5.7271,2.5278,..
United Arab Emirates,ARE,2019,YR2019,..,..,..,..,..,..
United Kingdom,GBR,2017,YR2017,..,2.54,..,8.2245,2.7863,..
United Kingdom,GBR,2018,YR2018,..,2.5,..,8.1723,2.8117,..
United Kingdom,GBR,2019,YR2019,..,2.46,..,..,..,..
United States,USA,2017,YR2017,..,2.87,..,14.548,2.612,..
United States,USA,2018,YR2018,..,..,..,..,..,..
United States,USA,2019,YR2019,..,..,..,..,..,..
Upper middle income,UMC,2017,YR2017,..,3.91044495,..,..,2.155057656,..
Upper middle income,UMC,2018,YR2018,..,..,..,3.72328153,..,..
Upper middle income,UMC,2019,YR2019,..,..,..,..,..,..
Uruguay,URY,2017,YR2017,..,2.43,..,1.9412,5.0794,..
Uruguay,URY,2018,YR2018,..,..,..,..,..,..
Uruguay,URY,2019,YR2019,..,..,..,..,..,..
Uzbekistan,UZB,2017,YR2017,..,..,..,..,..,..
Uzbekistan,UZB,2018,YR2018,..,..,..,..,..,..
Uzbekistan,UZB,2019,YR2019,..,..,..,..,..,..
Vanuatu,VUT,2017,YR2017,..,..,..,..,..,..
Vanuatu,VUT,2018,YR2018,..,..,..,1.4247,..,..
Vanuatu,VUT,2019,YR2019,..,..,..,..,..,..
"Venezuela, RB",VEN,2017,YR2017,..,0.87,..,..,..,..
"Venezuela, RB",VEN,2018,YR2018,..,..,..,0.9416,..,..
"Venezuela, RB",VEN,2019,YR2019,..,..,..,..,..,..
Vietnam,VNM,2017,YR2017,..,..,..,..,..,..
Vietnam,VNM,2018,YR2018,..,..,..,..,..,..
Vietnam,VNM,2019,YR2019,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,2017,YR2017,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,2018,YR2018,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,2019,YR2019,..,..,..,..,..,..
West Bank and Gaza,PSE,2017,YR2017,..,..,..,..,..,..
West Bank and Gaza,PSE,2018,YR2018,..,..,..,..,..,..
West Bank and Gaza,PSE,2019,YR2019,..,..,..,..,..,..
World,WLD,2017,YR2017,..,2.891809158,..,..,1.563169427,..
World,WLD,2018,YR2018,..,..,..,3.816205797,..,..
World,WLD,2019,YR2019,..,..,..,..,..,..
"Yemen, Rep.",YEM,2017,YR2017,..,0.71,..,0.7682,..,..
"Yemen, Rep.",YEM,2018,YR2018,..,..,..,0.7852,..,..
"Yemen, Rep.",YEM,2019,YR2019,..,..,..,..,..,..
Zambia,ZMB,2017,YR2017,..,..,..,1.2988,..,..
Zambia,ZMB,2018,YR2018,..,..,..,1.3376,..,..
Zambia,ZMB,2019,YR2019,..,..,..,..,..,..
Zimbabwe,ZWE,2017,YR2017,..,..,..,2.5972,0.1859,..
Zimbabwe,ZWE,2018,YR2018,..,..,..,1.9346,0.2096,..
Zimbabwe,ZWE,2019,YR2019,..,..,..,..,..,..
