Country Name,Country Code,Year,Year Code,Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age) [SH.ALC.PCAP.FE.LI]","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) [SH.ALC.PCAP.MA.LI]"
French Polynesia,PYF,2019,YR2019,19.5,..,..,..,..,..,..
Gabon,GAB,2017,YR2017,..,..,..,..,..,..,..
Gabon,GAB,2018,YR2018,..,..,..,..,8.74,3.97,13.17
Gabon,GAB,2019,YR2019,6,..,..,..,..,..,..
"Gambia, The",GMB,2017,YR2017,..,..,..,..,..,..,..
"Gambia, The",GMB,2018,YR2018,..,14.4,1.5,27.3,3.55,1.16,6.07
"Gambia, The",GMB,2019,YR2019,1.9,..,..,..,..,..,..
Georgia,GEO,2017,YR2017,..,..,..,..,..,..,..
Georgia,GEO,2018,YR2018,..,29.7,5.2,54.2,8.25,3.59,13.58
Georgia,GEO,2019,YR2019,5.8,..,..,..,..,..,..
Germany,DEU,2017,YR2017,..,..,..,..,..,..,..
Germany,DEU,2018,YR2018,..,28,26,29.9,12.91,6.21,19.9
Germany,DEU,2019,YR2019,10.4,..,..,..,..,..,..
Ghana,GHA,2017,YR2017,..,..,..,..,..,..,..
Ghana,GHA,2018,YR2018,..,3.7,0.4,7,2.75,1.17,4.4
Ghana,GHA,2019,YR2019,2.5,..,..,..,..,..,..
Gibraltar,GIB,2017,YR2017,..,..,..,..,..,..,..
Gibraltar,GIB,2018,YR2018,..,..,..,..,..,..,..
Gibraltar,GIB,2019,YR2019,..,..,..,..,..,..,..
Greece,GRC,2017,YR2017,..,..,..,..,..,..,..
Greece,GRC,2018,YR2018,..,39.1,32.8,45.3,10.18,4.46,16.17
Greece,GRC,2019,YR2019,4.7,..,..,..,..,..,..
Greenland,GRL,2017,YR2017,..,..,..,..,..,..,..
Greenland,GRL,2018,YR2018,..,..,..,..,..,..,..
Greenland,GRL,2019,YR2019,2.1,..,..,..,..,..,..
Grenada,GRD,2017,YR2017,..,..,..,..,..,..,..
Grenada,GRD,2018,YR2018,..,..,..,..,9.48,3.92,15.07
Grenada,GRD,2019,YR2019,10.7,..,..,..,..,..,..
Guam,GUM,2017,YR2017,..,..,..,..,..,..,..
Guam,GUM,2018,YR2018,..,..,..,..,..,..,..
Guam,GUM,2019,YR2019,18.7,..,..,..,..,..,..
Guatemala,GTM,2017,YR2017,..,..,..,..,..,..,..
Guatemala,GTM,2018,YR2018,..,..,..,..,2.45,1.04,3.97
Guatemala,GTM,2019,YR2019,10,..,..,..,..,..,..
Guinea,GIN,2017,YR2017,..,..,..,..,..,..,..
Guinea,GIN,2018,YR2018,..,..,..,..,1.11,0.34,1.89
Guinea,GIN,2019,YR2019,2.4,..,..,..,..,..,..
Guinea-Bissau,GNB,2017,YR2017,..,..,..,..,..,..,..
Guinea-Bissau,GNB,2018,YR2018,..,..,..,..,5.38,2.01,8.95
Guinea-Bissau,GNB,2019,YR2019,2.4,..,..,..,..,..,..
Guyana,GUY,2017,YR2017,..,..,..,..,..,..,..
Guyana,GUY,2018,YR2018,..,12.2,2.2,22.1,6.89,2.73,11.02
Guyana,GUY,2019,YR2019,11.6,..,..,..,..,..,..
Haiti,HTI,2017,YR2017,..,..,..,..,..,..,..
Haiti,HTI,2018,YR2018,..,8.3,3.3,13.3,2.73,1.07,4.47
Haiti,HTI,2019,YR2019,6.7,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,2017,YR2017,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,2018,YR2018,..,10.77648385,3.103495922,18.43819385,4.065759856,1.554853208,6.640223491
Heavily indebted poor countries (HIPC),HPC,2019,YR2019,5.729319261,..,..,..,..,..,..
High income,HIC,2017,YR2017,..,..,..,..,..,..,..
High income,HIC,2018,YR2018,..,24.75186596,19.18496936,30.57001102,9.779655995,4.682302738,14.96104849
High income,HIC,2019,YR2019,7.93535064,..,..,..,..,..,..
Honduras,HND,2017,YR2017,..,..,..,..,..,..,..
Honduras,HND,2018,YR2018,..,..,..,..,3.76,1.5,6.07
Honduras,HND,2019,YR2019,7.3,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2017,YR2017,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2018,YR2018,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2019,YR2019,4.5,..,..,..,..,..,..
Hungary,HUN,2017,YR2017,..,..,..,..,..,..,..
Hungary,HUN,2018,YR2018,..,30.6,26.4,34.8,11.35,5.38,18.1
Hungary,HUN,2019,YR2019,6.9,..,..,..,..,..,..
IBRD only,IBD,2017,YR2017,..,..,..,..,..,..,..
IBRD only,IBD,2018,YR2018,..,..,..,..,..,..,..
IBRD only,IBD,2019,YR2019,..,..,..,..,..,..,..
Iceland,ISL,2017,YR2017,..,..,..,..,..,..,..
Iceland,ISL,2018,YR2018,..,13.8,13.7,13.9,9.12,4.34,13.9
Iceland,ISL,2019,YR2019,5.8,..,..,..,..,..,..
IDA & IBRD total,IBT,2017,YR2017,..,..,..,..,..,..,..
IDA & IBRD total,IBT,2018,YR2018,..,23.73063995,7.388887209,40.25252906,5.487421484,2.209313274,8.752943559
IDA & IBRD total,IBT,2019,YR2019,8.986872626,..,..,..,..,..,..
IDA blend,IDB,2017,YR2017,..,..,..,..,..,..,..
IDA blend,IDB,2018,YR2018,..,..,..,..,..,..,..
IDA blend,IDB,2019,YR2019,..,..,..,..,..,..,..
IDA only,IDX,2017,YR2017,..,..,..,..,..,..,..
IDA only,IDX,2018,YR2018,..,..,..,..,..,..,..
IDA only,IDX,2019,YR2019,..,..,..,..,..,..,..
IDA total,IDA,2017,YR2017,..,..,..,..,..,..,..
IDA total,IDA,2018,YR2018,..,..,..,..,..,..,..
IDA total,IDA,2019,YR2019,..,..,..,..,..,..,..
India,IND,2017,YR2017,..,..,..,..,..,..,..
India,IND,2018,YR2018,..,27,12.1,42,5.54,1.88,8.99
India,IND,2019,YR2019,10.4,..,..,..,..,..,..
Indonesia,IDN,2017,YR2017,..,..,..,..,..,..,..
Indonesia,IDN,2018,YR2018,..,37.9,5.3,70.5,0.57,0.17,0.98
Indonesia,IDN,2019,YR2019,6.3,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2017,YR2017,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2018,YR2018,..,14,3.5,24.6,1.03,0.26,1.79
"Iran, Islamic Rep.",IRN,2019,YR2019,9.6,..,..,..,..,..,..
Iraq,IRQ,2017,YR2017,..,..,..,..,..,..,..
Iraq,IRQ,2018,YR2018,..,22.2,3.6,40.8,0.39,0.11,0.67
Iraq,IRQ,2019,YR2019,8.8,..,..,..,..,..,..
Ireland,IRL,2017,YR2017,..,..,..,..,..,..,..
Ireland,IRL,2018,YR2018,..,23.6,21.2,26.1,12.88,6.38,19.62
Ireland,IRL,2019,YR2019,3.2,..,..,..,..,..,..
Isle of Man,IMN,2017,YR2017,..,..,..,..,..,..,..
Isle of Man,IMN,2018,YR2018,..,..,..,..,..,..,..
Isle of Man,IMN,2019,YR2019,..,..,..,..,..,..,..
Israel,ISR,2017,YR2017,..,..,..,..,..,..,..
Israel,ISR,2018,YR2018,..,25.5,15.8,35.2,4.21,1.93,6.58
Israel,ISR,2019,YR2019,9.7,..,..,..,..,..,..
Italy,ITA,2017,YR2017,..,..,..,..,..,..,..
Italy,ITA,2018,YR2018,..,23.4,19.6,27.1,7.84,3.52,12.46
Italy,ITA,2019,YR2019,5,..,..,..,..,..,..
Jamaica,JAM,2017,YR2017,..,..,..,..,..,..,..
Jamaica,JAM,2018,YR2018,..,11,4.2,17.7,4.22,1.7,6.79
Jamaica,JAM,2019,YR2019,11.3,..,..,..,..,..,..
Japan,JPN,2017,YR2017,..,..,..,..,..,..,..
Japan,JPN,2018,YR2018,..,21.9,10.5,33.2,7.96,3.89,12.29
Japan,JPN,2019,YR2019,5.6,..,..,..,..,..,..
Jordan,JOR,2017,YR2017,..,..,..,..,..,..,..
Jordan,JOR,2018,YR2018,..,..,..,..,0.69,0.19,1.19
Jordan,JOR,2019,YR2019,12.7,..,..,..,..,..,..
Kazakhstan,KAZ,2017,YR2017,..,..,..,..,..,..,..
Kazakhstan,KAZ,2018,YR2018,..,24.4,6.6,42.2,4.76,1.93,7.92
Kazakhstan,KAZ,2019,YR2019,6.1,..,..,..,..,..,..
Kenya,KEN,2017,YR2017,..,..,..,..,..,..,..
Kenya,KEN,2018,YR2018,..,11.8,2.8,20.8,2.78,1.07,4.55
Kenya,KEN,2019,YR2019,3.1,..,..,..,..,..,..
Kiribati,KIR,2017,YR2017,..,..,..,..,..,..,..
Kiribati,KIR,2018,YR2018,..,52,35.5,68.6,0.46,0.16,0.77
Kiribati,KIR,2019,YR2019,22.5,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2017,YR2017,..,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2018,YR2018,..,18.8,0,37.5,3.8,1.47,6.29
"Korea, Dem. People's Rep.",PRK,2019,YR2019,6.4,..,..,..,..,..,..
"Korea, Rep.",KOR,2017,YR2017,..,..,..,..,..,..,..
"Korea, Rep.",KOR,2018,YR2018,..,22,5.9,38.2,9.7,4.8,14.65
"Korea, Rep.",KOR,2019,YR2019,6.9,..,..,..,..,..,..
Kosovo,XKX,2017,YR2017,..,..,..,..,..,..,..
Kosovo,XKX,2018,YR2018,..,..,..,..,..,..,..
Kosovo,XKX,2019,YR2019,..,..,..,..,..,..,..
Kuwait,KWT,2017,YR2017,..,..,..,..,..,..,..
Kuwait,KWT,2018,YR2018,..,22.1,3.4,40.9,0.003,0.001,0.004
Kuwait,KWT,2019,YR2019,12.2,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2017,YR2017,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2018,YR2018,..,27.9,3.4,52.5,6.26,1.95,10.79
Kyrgyz Republic,KGZ,2019,YR2019,6.1,..,..,..,..,..,..
Lao PDR,LAO,2017,YR2017,..,..,..,..,..,..,..
Lao PDR,LAO,2018,YR2018,..,37.8,15.5,60.1,10.72,4.55,17.05
Lao PDR,LAO,2019,YR2019,6.4,..,..,..,..,..,..
Late-demographic dividend,LTE,2017,YR2017,..,..,..,..,..,..,..
Late-demographic dividend,LTE,2018,YR2018,..,23.69365177,5.138044629,42.5874114,7.24966961,3.11762166,11.36376737
Late-demographic dividend,LTE,2019,YR2019,8.830811226,..,..,..,..,..,..
Latin America & Caribbean,LCN,2017,YR2017,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,2018,YR2018,..,15.91747683,10.08943989,21.72197816,6.331605519,2.804209764,10.02481271
Latin America & Caribbean,LCN,2019,YR2019,9.694271126,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,2017,YR2017,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,2018,YR2018,..,14.79484042,8.903966966,20.65704041,6.33674686,2.795524541,10.04720893
Latin America & Caribbean (excluding high income),LAC,2019,YR2019,9.840786144,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,YR2017,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,2018,YR2018,..,15.6631486,9.997369411,21.29957521,6.341037019,2.811247818,10.03926579
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,YR2019,9.67106673,..,..,..,..,..,..
Latvia,LVA,2017,YR2017,..,..,..,..,..,..,..
Latvia,LVA,2018,YR2018,..,36.7,24,49.5,12.77,6.11,20.92
Latvia,LVA,2019,YR2019,5,..,..,..,..,..,..
Least developed countries: UN classification,LDC,2017,YR2017,..,..,..,..,..,..,..
Least developed countries: UN classification,LDC,2018,YR2018,..,22.74541904,9.335679508,36.20033262,3.33836611,1.287296494,5.444874503
Least developed countries: UN classification,LDC,2019,YR2019,6.442058445,..,..,..,..,..,..
Lebanon,LBN,2017,YR2017,..,..,..,..,..,..,..
Lebanon,LBN,2018,YR2018,..,42.6,35.9,49.4,1.71,0.55,2.86
Lebanon,LBN,2019,YR2019,11.2,..,..,..,..,..,..
Lesotho,LSO,2017,YR2017,..,..,..,..,..,..,..
Lesotho,LSO,2018,YR2018,..,29.7,4.6,54.7,4.59,1.59,7.89
Lesotho,LSO,2019,YR2019,4.5,..,..,..,..,..,..
Liberia,LBR,2017,YR2017,..,..,..,..,..,..,..
Liberia,LBR,2018,YR2018,..,8.4,1.8,15.1,6.12,2.51,9.74
Liberia,LBR,2019,YR2019,2.4,..,..,..,..,..,..
Libya,LBY,2017,YR2017,..,..,..,..,..,..,..
Libya,LBY,2018,YR2018,..,..,..,..,0.019,0.005,0.034
Libya,LBY,2019,YR2019,10.2,..,..,..,..,..,..
Liechtenstein,LIE,2017,YR2017,..,..,..,..,..,..,..
Liechtenstein,LIE,2018,YR2018,..,..,..,..,..,..,..
Liechtenstein,LIE,2019,YR2019,9.4,..,..,..,..,..,..
Lithuania,LTU,2017,YR2017,..,..,..,..,..,..,..
Lithuania,LTU,2018,YR2018,..,27.1,19,35.3,13.22,6.56,21.29
Lithuania,LTU,2019,YR2019,3.8,..,..,..,..,..,..
Low & middle income,LMY,2017,YR2017,..,..,..,..,..,..,..
Low & middle income,LMY,2018,YR2018,..,23.61534543,7.108461906,40.29063715,5.4271187,2.173873075,8.665307289
Low & middle income,LMY,2019,YR2019,9.010097774,..,..,..,..,..,..
Low income,LIC,2017,YR2017,..,..,..,..,..,..,..
Low income,LIC,2018,YR2018,..,..,..,..,3.195235954,1.208398357,5.215845329
Low income,LIC,2019,YR2019,6.391683468,..,..,..,..,..,..
Lower middle income,LMC,2017,YR2017,..,..,..,..,..,..,..
Lower middle income,LMC,2018,YR2018,..,25.13385493,8.834213747,41.42607754,4.43451737,1.61685679,7.212508537
Lower middle income,LMC,2019,YR2019,9.22358197,..,..,..,..,..,..
Luxembourg,LUX,2017,YR2017,..,..,..,..,..,..,..
Luxembourg,LUX,2018,YR2018,..,21.7,19.8,23.6,12.94,6.36,19.51
Luxembourg,LUX,2019,YR2019,5,..,..,..,..,..,..
"Macao SAR, China",MAC,2017,YR2017,..,..,..,..,..,..,..
"Macao SAR, China",MAC,2018,YR2018,..,..,..,..,..,..,..
"Macao SAR, China",MAC,2019,YR2019,4.3,..,..,..,..,..,..
Madagascar,MDG,2017,YR2017,..,..,..,..,..,..,..
Madagascar,MDG,2018,YR2018,..,28.9,11,46.9,1.97,0.76,3.2
Madagascar,MDG,2019,YR2019,4.5,..,..,..,..,..,..
Malawi,MWI,2017,YR2017,..,..,..,..,..,..,..
Malawi,MWI,2018,YR2018,..,12.8,5.2,20.4,3.63,1.38,6
Malawi,MWI,2019,YR2019,4.5,..,..,..,..,..,..
Malaysia,MYS,2017,YR2017,..,..,..,..,..,..,..
Malaysia,MYS,2018,YR2018,..,21.8,1,42.7,0.85,0.32,1.35
Malaysia,MYS,2019,YR2019,16.7,..,..,..,..,..,..
Maldives,MDV,2017,YR2017,..,..,..,..,..,..,..
Maldives,MDV,2018,YR2018,..,..,..,..,2.22,0.5,3.45
Maldives,MDV,2019,YR2019,9.2,..,..,..,..,..,..
Mali,MLI,2017,YR2017,..,..,..,..,..,..,..
Mali,MLI,2018,YR2018,..,12,1.7,22.4,1.28,0.38,2.2
Mali,MLI,2019,YR2019,2.4,..,..,..,..,..,..
Malta,MLT,2017,YR2017,..,..,..,..,..,..,..
Malta,MLT,2018,YR2018,..,25.1,22.5,27.8,7.99,3.56,12.42
Malta,MLT,2019,YR2019,8.3,..,..,..,..,..,..
Marshall Islands,MHL,2017,YR2017,..,..,..,..,..,..,..
Marshall Islands,MHL,2018,YR2018,..,..,..,..,..,..,..
Marshall Islands,MHL,2019,YR2019,30.5,..,..,..,..,..,..
Mauritania,MRT,2017,YR2017,..,..,..,..,..,..,..
Mauritania,MRT,2018,YR2018,..,..,..,..,0.036,0.009,0.062
Mauritania,MRT,2019,YR2019,7.1,..,..,..,..,..,..
Mauritius,MUS,2017,YR2017,..,..,..,..,..,..,..
Mauritius,MUS,2018,YR2018,..,26.9,5.4,48.3,4.35,1.81,6.97
Mauritius,MUS,2019,YR2019,22,..,..,..,..,..,..
Mexico,MEX,2017,YR2017,..,..,..,..,..,..,..
Mexico,MEX,2018,YR2018,..,13.9,6.5,21.2,5,2.13,7.95
Mexico,MEX,2019,YR2019,13.5,..,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,2017,YR2017,..,..,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,2018,YR2018,..,..,..,..,2.48,0.84,4.06
"Micronesia, Fed. Sts.",FSM,2019,YR2019,11.9,..,..,..,..,..,..
Middle East & North Africa,MEA,2017,YR2017,..,..,..,..,..,..,..
Middle East & North Africa,MEA,2018,YR2018,..,18.8811298,3.391609102,34.33140264,0.812701073,0.223606865,1.347982442
Middle East & North Africa,MEA,2019,YR2019,11.37388398,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,2017,YR2017,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,2018,YR2018,..,19.07714076,3.20107192,34.96620534,0.682973122,0.180533174,1.183291362
Middle East & North Africa (excluding high income),MNA,2019,YR2019,10.79064373,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,2017,YR2017,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,2018,YR2018,..,19.07714076,3.20107192,34.96620534,0.682973122,0.180533174,1.183291362
Middle East & North Africa (IDA & IBRD countries),TMN,2019,YR2019,10.80461564,..,..,..,..,..,..
Middle income,MIC,2017,YR2017,..,..,..,..,..,..,..
Middle income,MIC,2018,YR2018,..,24.2672946,7.30701638,41.38680193,5.615465949,2.256833252,8.951138104
Middle income,MIC,2019,YR2019,9.239025356,..,..,..,..,..,..
Moldova,MDA,2017,YR2017,..,..,..,..,..,..,..
Moldova,MDA,2018,YR2018,..,25.3,6,44.6,11.43,5.27,18.29
Moldova,MDA,2019,YR2019,5.7,..,..,..,..,..,..
Monaco,MCO,2017,YR2017,..,..,..,..,..,..,..
Monaco,MCO,2018,YR2018,..,..,..,..,..,..,..
Monaco,MCO,2019,YR2019,2.9,..,..,..,..,..,..
Mongolia,MNG,2017,YR2017,..,..,..,..,..,..,..
Mongolia,MNG,2018,YR2018,..,27.6,6.2,49.1,8.19,3.77,12.79
Mongolia,MNG,2019,YR2019,4.7,..,..,..,..,..,..
Montenegro,MNE,2017,YR2017,..,..,..,..,..,..,..
Montenegro,MNE,2018,YR2018,..,..,..,..,11.47,4.97,18.3
Montenegro,MNE,2019,YR2019,9,..,..,..,..,..,..
Morocco,MAR,2017,YR2017,..,..,..,..,..,..,..
Morocco,MAR,2018,YR2018,..,14.7,0.9,28.6,0.69,0.18,1.22
Morocco,MAR,2019,YR2019,7,..,..,..,..,..,..
Mozambique,MOZ,2017,YR2017,..,..,..,..,..,..,..
Mozambique,MOZ,2018,YR2018,..,14.4,5.4,23.4,2.3,0.88,3.86
Mozambique,MOZ,2019,YR2019,3.3,..,..,..,..,..,..
Myanmar,MMR,2017,YR2017,..,..,..,..,..,..,..
Myanmar,MMR,2018,YR2018,..,45.5,20.8,70.2,5.12,2.02,8.43
Myanmar,MMR,2019,YR2019,3.9,..,..,..,..,..,..
Namibia,NAM,2017,YR2017,..,..,..,..,..,..,..
Namibia,NAM,2018,YR2018,..,17.9,7.4,28.4,5.43,2.07,9.1
Namibia,NAM,2019,YR2019,4.5,..,..,..,..,..,..
Nauru,NRU,2017,YR2017,..,..,..,..,..,..,..
Nauru,NRU,2018,YR2018,..,52.1,52.6,51.7,3.71,1.26,6.16
Nauru,NRU,2019,YR2019,12,..,..,..,..,..,..
Nepal,NPL,2017,YR2017,..,..,..,..,..,..,..
Nepal,NPL,2018,YR2018,..,31.9,15.3,48.6,2.05,0.76,3.49
Nepal,NPL,2019,YR2019,7.2,..,..,..,..,..,..
Netherlands,NLD,2017,YR2017,..,..,..,..,..,..,..
Netherlands,NLD,2018,YR2018,..,23.4,21.3,25.6,9.61,4.51,14.83
Netherlands,NLD,2019,YR2019,5.4,..,..,..,..,..,..
New Caledonia,NCL,2017,YR2017,..,..,..,..,..,..,..
New Caledonia,NCL,2018,YR2018,..,..,..,..,..,..,..
New Caledonia,NCL,2019,YR2019,21.8,..,..,..,..,..,..
New Zealand,NZL,2017,YR2017,..,..,..,..,..,..,..
